ilkid,player_name,position,impact_score,ppg,apg,rpg,fg_pct,usage_proxy,playoff_ppg,allstar_appearances,iforest_score,is_outlier_iforest
CHAMBWI01,Wilt Chamberlain,C,51.42334928229665,30.06602870813397,4.443062200956938,22.89377990430622,0.5396859173511512,21.600661944461855,22.54375,13.0,-0.111847167961723,True
JORDAMI01,Michael Jordan,G,40.78544776119403,30.12313432835821,5.254664179104478,6.223880597014926,0.4968822594449199,24.926374719594264,33.44692737430167,14.0,-0.1096535026998896,True
ERVINJU01,Julius Erving,F,42.877641277641274,28.653562653562652,4.796068796068796,12.098280098280098,0.5037387288321971,22.750433836858008,30.875,16.0,-0.10192433849102878,True
WESTJE01,Jerry West,G,39.09957081545064,27.030042918454935,6.6931330472103,5.76824034334764,0.47372845733501473,22.546822345574363,29.130718954248366,13.0,-0.09007549153463568,True
HAYWOSP01,Spencer Haywood,F,46.34404761904762,29.988095238095237,2.261904761904762,19.488095238095237,0.4934934934934935,21.821218487394958,36.583333333333336,5.0,-0.08837307899442015,True
BAYLOEL01,Elgin Baylor,F,42.02494089834515,27.3628841607565,4.314420803782506,13.549645390070921,0.4309652471369788,24.90120308301096,27.03731343283582,11.0,-0.08619310883493159,True
ROBEROS01,Oscar Robertson,G,42.34346153846154,25.682692307692307,9.506730769230769,7.503846153846154,0.48460754332313966,19.409615822813652,22.209302325581394,12.0,-0.08594424395209821,True
ERVINJU01,Julius Erving,F,42.877641277641274,28.653562653562652,4.796068796068796,12.098280098280098,0.5037387288321971,22.750433836858008,21.900709219858157,16.0,-0.08436745496812714,True
BARRYRI01,Rick Barry,F,40.67477876106195,30.460176991150444,4.1371681415929205,7.5,0.4771484375,23.41759862778731,32.16129032258065,12.0,-0.08046889448108063,True
PETTIBO01,Bob Pettit,F,41.30946969696969,26.363636363636363,2.9911616161616164,16.223484848484848,0.4355737316263632,23.981653958944282,25.454545454545453,11.0,-0.07610386296842331,True
JOHNSMA01,Magic Johnson,G,38.04359823399558,19.544150110375277,11.193156732891833,7.239514348785872,0.5197054639779098,15.728681004662356,19.478947368421053,12.0,-0.07409273862279098,True
HAVLIJO01,John Havlicek,F,30.973779527559056,20.783464566929133,4.814173228346457,6.304724409448819,0.4393230254910155,20.783924598136473,21.953488372093023,13.0,-0.07108089885259161,True
ABDULKA01,Kareem Abdul-Jabbar,C,36.78653846153846,24.60705128205128,3.628205128205128,11.179487179487179,0.5594729218921115,20.30476203739164,24.31223628691983,19.0,-0.07073813135421725,True
BARRYRI01,Rick Barry,F,33.794710327455924,23.16750629722922,5.05919395465995,6.508816120906801,0.44867908185361627,22.517853252385077,32.16129032258065,12.0,-0.07064705265216864,True
ONEASH01,Shaquille O'Neal,C,38.51757369614513,26.738095238095237,2.8446712018140587,11.95124716553288,0.578839590443686,22.043543751136983,26.584795321637426,10.0,-0.06764288304272603,True
